target_id,ranking_mode,rank,score,selected,ablation_group,schema_version
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
