region_id,case_id,optimization,source_type,direction,interface_position,raw_node_name,canonical_node_id,bus_name,bit_index,role
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
